trial,opponent,seed,opponent_rng,winner,game_points,score,aggressive_moves,defensive_moves
99,RandBot,4070268677,4070268678,AdaptiveBot,2,73,0,827
100,RandBot,3689662046,3689662047,AdaptiveBot,1,60,0,837
101,RandBot,1062232880,1062232881,RandBot,1,76,0,845
102,RandBot,681626249,681626250,AdaptiveBot,1,66,0,855
103,RandBot,301019618,301019619,AdaptiveBot,1,77,0,865
104,RandBot,4116041396,4116041397,AdaptiveBot,1,67,0,875
105,RandBot,3735434765,3735434766,AdaptiveBot,1,66,0,884
106,RandBot,1108005599,1108005600,AdaptiveBot,1,59,0,894
107,RandBot,727398968,727398969,AdaptiveBot,1,62,0,904
108,RandBot,247453450,247453451,AdaptiveBot,1,64,0,914
109,RandBot,4161814115,4161814116,RandBot,1,75,0,923
110,RandBot,3781207484,3781207485,AdaptiveBot,3,74,0,929
111,RandBot,1153778318,1153778319,AdaptiveBot,1,74,0,938
112,RandBot,2920655335,2920655336,AdaptiveBot,2,72,0,947
113,RandBot,293226169,293226170,AdaptiveBot,1,66,0,956
114,RandBot,4207586834,4207586835,RandBot,3,76,0,959
115,RandBot,3826980203,3826980204,AdaptiveBot,1,60,0,969
116,RandBot,3347034685,3347034686,AdaptiveBot,1,66,0,978
117,RandBot,2966428054,2966428055,RandBot,2,74,0,986
118,RandBot,338998888,338998889,RandBot,2,66,0,993
119,RandBot,4253359553,4253359554,AdaptiveBot,1,74,0,1003
120,RandBot,3773414035,3773414036,AdaptiveBot,1,110,0,1012
121,RandBot,3392807404,3392807405,AdaptiveBot,1,110,0,1021
122,RandBot,3012200773,3012200774,AdaptiveBot,1,93,0,1029
123,RandBot,384771607,384771608,RandBot,2,70,0,1037
124,RandBot,4164976,4164977,AdaptiveBot,1,77,0,1047
125,RandBot,3819186754,3819186755,AdaptiveBot,1,68,0,1057
126,RandBot,3438580123,3438580124,RandBot,1,73,0,1066
127,RandBot,811150957,811150958,AdaptiveBot,1,82,0,1076
128,RandBot,430544326,430544327,AdaptiveBot,3,74,0,1082
129,RandBot,2197421343,2197421344,RandBot,1,67,0,1092
130,RandBot,3864959473,3864959474,AdaptiveBot,1,78,0,1102
131,RandBot,3484352842,3484352843,AdaptiveBot,1,61,0,1112
132,RandBot,856923676,856923677,AdaptiveBot,1,76,0,1122
133,RandBot,2623800693,2623800694,RandBot,2,74,0,1130
134,RandBot,4291338823,4291338824,RandBot,1,69,0,1139
135,RandBot,3910732192,3910732193,AdaptiveBot,1,76,0,1149
136,RandBot,3530125561,3530125562,AdaptiveBot,3,68,0,1154
137,RandBot,3050180043,3050180044,AdaptiveBot,1,69,0,1163
138,RandBot,2669573412,2669573413,RandBot,2,66,0,1170
139,RandBot,42144246,42144247,AdaptiveBot,2,74,0,1179
140,RandBot,3956504911,3956504912,AdaptiveBot,2,116,0,1186
141,RandBot,1428414632,1428414633,AdaptiveBot,2,80,0,1195
142,RandBot,3095952762,3095952763,RandBot,2,78,0,1204
143,RandBot,2715346131,2715346132,RandBot,1,67,0,1212
144,RandBot,87916965,87916966,AdaptiveBot,2,79,0,1219
145,RandBot,1854793982,1854793983,AdaptiveBot,1,111,0,1228
146,RandBot,3522332112,3522332113,AdaptiveBot,1,58,0,1238
147,RandBot,3141725481,3141725482,RandBot,1,67,0,1248
148,RandBot,2761118850,2761118851,RandBot,2,72,0,1256
149,RandBot,133689684,133689685,AdaptiveBot,2,74,0,1263
150,RandBot,1900566701,1900566702,RandBot,2,66,0,1270
151,RandBot,3568104831,3568104832,AdaptiveBot,1,106,0,1280
152,RandBot,3187498200,3187498201,AdaptiveBot,1,73,0,1290
153,RandBot,560069034,560069035,AdaptiveBot,2,72,0,1297
154,RandBot,2326946051,2326946052,AdaptiveBot,2,75,0,1304
155,RandBot,1946339420,1946339421,AdaptiveBot,2,73,0,1312
156,RandBot,3613877550,3613877551,RandBot,1,75,0,1320
157,RandBot,3233270919,3233270920,AdaptiveBot,1,73,0,1330
158,RandBot,2753325401,2753325402,RandBot,1,84,0,1340
159,RandBot,2372718770,2372718771,AdaptiveBot,3,72,0,1346
160,RandBot,1992112139,1992112140,RandBot,2,80,0,1355
161,RandBot,3659650269,3659650270,AdaptiveBot,1,61,0,1365
162,RandBot,1131559990,1131559991,AdaptiveBot,1,66,0,1374
163,RandBot,2799098120,2799098121,RandBot,1,68,0,1384
164,RandBot,2418491489,2418491490,RandBot,2,78,0,1393
165,RandBot,4086029619,4086029620,AdaptiveBot,1,75,0,1402
166,RandBot,1557939340,1557939341,AdaptiveBot,1,70,0,1411
167,RandBot,1177332709,1177332710,AdaptiveBot,2,68,0,1419
168,RandBot,2844870839,2844870840,AdaptiveBot,1,105,0,1428
169,RandBot,2464264208,2464264209,AdaptiveBot,2,67,0,1436
