trial,opponent,seed,opponent_rng,winner,game_points,score,aggressive_moves,defensive_moves
1,BullyBot,1138976959,1138976960,BullyBot,2,71,0,4254
2,BullyBot,758370328,758370329,AdaptiveBot,1,63,0,4264
3,BullyBot,2425908458,2425908459,BullyBot,3,69,0,4269
4,BullyBot,2045301827,2045301828,BullyBot,3,73,0,4274
5,BullyBot,3712839957,3712839958,AdaptiveBot,1,59,0,4284
6,BullyBot,1184749678,1184749679,AdaptiveBot,1,60,0,4294
7,BullyBot,804143047,804143048,BullyBot,2,78,0,4300
8,BullyBot,2471681177,2471681178,AdaptiveBot,1,95,0,4309
9,BullyBot,2091074546,2091074547,AdaptiveBot,1,70,0,4319
10,BullyBot,1611129028,1611129029,AdaptiveBot,1,60,0,4329
11,BullyBot,1230522397,1230522398,AdaptiveBot,1,65,0,4339
12,BullyBot,2898060527,2898060528,AdaptiveBot,1,60,0,4349
13,BullyBot,2517453896,2517453897,AdaptiveBot,1,69,0,4359
14,BullyBot,4284330913,4284330914,AdaptiveBot,1,61,0,4369
15,BullyBot,1656901747,1656901748,BullyBot,3,73,0,4375
16,BullyBot,1276295116,1276295117,BullyBot,3,75,0,4380
17,BullyBot,2943833246,2943833247,BullyBot,3,68,0,4385
18,BullyBot,415742967,415742968,BullyBot,3,67,0,4390
19,BullyBot,2083281097,2083281098,BullyBot,3,68,0,4395
20,BullyBot,1702674466,1702674467,AdaptiveBot,1,68,0,4405
21,BullyBot,1322067835,1322067836,BullyBot,3,72,0,4411
22,BullyBot,842122317,842122318,AdaptiveBot,1,69,0,4421
23,BullyBot,461515686,461515687,AdaptiveBot,1,61,0,4431
24,BullyBot,2129053816,2129053817,AdaptiveBot,1,80,0,4438
25,BullyBot,1748447185,1748447186,BullyBot,3,67,0,4443
26,BullyBot,1268501667,1268501668,AdaptiveBot,1,74,0,4453
27,BullyBot,887895036,887895037,AdaptiveBot,1,76,0,4463
28,BullyBot,507288405,507288406,BullyBot,3,68,0,4468
29,BullyBot,2174826535,2174826536,BullyBot,3,69,0,4473
30,BullyBot,1794219904,1794219905,AdaptiveBot,1,76,0,4483
31,BullyBot,1314274386,1314274387,AdaptiveBot,1,78,0,4493
32,BullyBot,933667755,933667756,BullyBot,2,75,0,4500
33,BullyBot,553061124,553061125,AdaptiveBot,1,58,0,4510
34,BullyBot,2220599254,2220599255,AdaptiveBot,1,74,0,4520
35,BullyBot,3987476271,3987476272,AdaptiveBot,1,61,0,4530
36,BullyBot,1360047105,1360047106,BullyBot,3,66,0,4535
37,BullyBot,979440474,979440475,BullyBot,3,70,0,4540
38,BullyBot,2646978604,2646978605,AdaptiveBot,2,67,0,4547
39,BullyBot,118888325,118888326,AdaptiveBot,1,58,0,4557
40,BullyBot,4033248990,4033248991,AdaptiveBot,1,58,0,4567
41,BullyBot,1405819824,1405819825,AdaptiveBot,1,62,0,4577
42,BullyBot,1025213193,1025213194,BullyBot,2,67,0,4583
43,BullyBot,545267675,545267676,BullyBot,3,69,0,4588
44,BullyBot,164661044,164661045,AdaptiveBot,1,70,0,4598
45,BullyBot,1832199174,1832199175,AdaptiveBot,1,60,0,4608
46,BullyBot,1451592543,1451592544,AdaptiveBot,1,59,0,4618
47,BullyBot,3218469560,3218469561,AdaptiveBot,1,57,0,4628
48,BullyBot,591040394,591040395,AdaptiveBot,1,64,0,4638
49,BullyBot,210433763,210433764,BullyBot,2,67,0,4645
50,BullyBot,1877971893,1877971894,AdaptiveBot,1,68,0,4655
51,BullyBot,3644848910,3644848911,AdaptiveBot,1,62,0,4665
52,BullyBot,3264242279,3264242280,AdaptiveBot,1,68,0,4675
53,BullyBot,636813113,636813114,AdaptiveBot,2,68,0,4683
54,BullyBot,256206482,256206483,AdaptiveBot,1,71,0,4693
55,BullyBot,1923744612,1923744613,BullyBot,3,66,0,4698
56,BullyBot,3690621629,3690621630,BullyBot,3,67,0,4703
