trial,opponent,seed,opponent_rng,winner,game_points,score,aggressive_moves,defensive_moves
1,RandBot,2592278809,2592278810,AdaptiveBot,3,80,5,0
2,RandBot,4259816939,4259816940,AdaptiveBot,2,73,7,7
3,RandBot,1731726660,1731726661,RandBot,3,81,10,7
4,RandBot,3399264790,3399264791,RandBot,1,64,19,8
5,RandBot,3018658159,3018658160,AdaptiveBot,2,68,25,8
6,RandBot,2638051528,2638051529,RandBot,3,76,30,8
7,RandBot,10622362,10622363,AdaptiveBot,3,66,33,8
8,RandBot,1777499379,1777499380,AdaptiveBot,3,71,39,8
9,RandBot,3445037509,3445037510,AdaptiveBot,3,81,43,8
10,RandBot,3064430878,3064430879,RandBot,2,71,49,8
11,RandBot,437001712,437001713,AdaptiveBot,1,59,59,8
12,RandBot,2203878729,2203878730,AdaptiveBot,1,87,67,9
13,RandBot,1823272098,1823272099,RandBot,1,67,74,9
14,RandBot,3490810228,3490810229,AdaptiveBot,2,75,79,9
15,RandBot,3110203597,3110203598,AdaptiveBot,1,75,86,10
16,RandBot,2630258079,2630258080,AdaptiveBot,3,67,88,10
17,RandBot,2249651448,2249651449,AdaptiveBot,2,81,93,13
18,RandBot,3917189578,3917189579,AdaptiveBot,3,82,98,13
19,RandBot,3536582947,3536582948,AdaptiveBot,2,67,102,13
20,RandBot,1008492668,1008492669,RandBot,1,58,112,13
21,RandBot,2676030798,2676030799,AdaptiveBot,3,82,117,13
22,RandBot,2295424167,2295424168,AdaptiveBot,3,76,122,13
23,RandBot,3962962297,3962962298,AdaptiveBot,1,72,125,20
24,RandBot,1434872018,1434872019,AdaptiveBot,3,75,127,20
25,RandBot,1054265387,1054265388,AdaptiveBot,3,70,131,20
26,RandBot,2721803517,2721803518,AdaptiveBot,1,72,137,20
27,RandBot,2341196886,2341196887,AdaptiveBot,2,76,143,21
28,RandBot,1861251368,1861251369,AdaptiveBot,2,66,148,21
29,RandBot,1480644737,1480644738,RandBot,2,82,152,21
30,RandBot,3148182867,3148182868,AdaptiveBot,3,71,155,21
31,RandBot,2767576236,2767576237,AdaptiveBot,3,71,160,21
32,RandBot,2386969605,2386969606,AdaptiveBot,2,81,165,21
33,RandBot,1907024087,1907024088,AdaptiveBot,2,66,172,21
34,RandBot,1526417456,1526417457,RandBot,3,80,177,21
35,RandBot,3193955586,3193955587,AdaptiveBot,3,82,179,21
36,RandBot,2813348955,2813348956,AdaptiveBot,3,76,184,21
37,RandBot,2333403437,2333403438,RandBot,1,79,194,21
38,RandBot,1952796806,1952796807,RandBot,3,69,198,21
39,RandBot,1572190175,1572190176,AdaptiveBot,1,89,207,22
40,RandBot,3239728305,3239728306,AdaptiveBot,3,90,214,22
41,RandBot,711638026,711638027,AdaptiveBot,3,76,220,22
42,RandBot,2379176156,2379176157,RandBot,1,76,229,22
43,RandBot,1998569525,1998569526,RandBot,1,69,235,22
44,RandBot,3666107655,3666107656,AdaptiveBot,3,67,238,22
45,RandBot,1138017376,1138017377,RandBot,1,75,247,22
46,RandBot,757410745,757410746,RandBot,1,77,258,22
47,RandBot,2424948875,2424948876,AdaptiveBot,3,77,264,22
48,RandBot,2044342244,2044342245,AdaptiveBot,1,76,271,22
49,RandBot,1564396726,1564396727,RandBot,1,58,282,22
50,RandBot,1183790095,1183790096,RandBot,1,66,289,22
51,RandBot,803183464,803183465,AdaptiveBot,3,76,295,22
52,RandBot,2470721594,2470721595,AdaptiveBot,2,69,299,22
53,RandBot,2090114963,2090114964,AdaptiveBot,3,77,303,22
54,RandBot,1610169445,1610169446,RandBot,1,60,314,22
55,RandBot,1229562814,1229562815,AdaptiveBot,2,74,319,22
56,RandBot,2897100944,2897100945,AdaptiveBot,3,71,325,22
57,RandBot,2516494313,2516494314,AdaptiveBot,2,72,329,23
58,RandBot,4283371330,4283371331,RandBot,1,68,337,23
59,RandBot,1655942164,1655942165,AdaptiveBot,2,84,342,23
60,RandBot,1275335533,1275335534,AdaptiveBot,1,65,344,31
61,RandBot,2942873663,2942873664,AdaptiveBot,2,84,349,35
62,RandBot,414783384,414783385,RandBot,1,76,356,35
63,RandBot,2082321514,2082321515,RandBot,2,78,364,35
64,RandBot,1701714883,1701714884,AdaptiveBot,3,68,368,35
65,RandBot,1321108252,1321108253,AdaptiveBot,3,77,373,36
66,RandBot,841162734,841162735,AdaptiveBot,2,79,378,36
67,RandBot,460556103,460556104,AdaptiveBot,3,76,382,36
68,RandBot,2128094233,2128094234,RandBot,1,66,385,41
69,RandBot,1747487602,1747487603,AdaptiveBot,3,76,391,41
70,RandBot,3514364619,3514364620,AdaptiveBot,1,75,393,44
71,RandBot,886935453,886935454,AdaptiveBot,1,74,401,44
72,RandBot,506328822,506328823,RandBot,1,64,411,44
73,RandBot,2173866952,2173866953,AdaptiveBot,3,76,417,44
74,RandBot,3940743969,3940743970,RandBot,2,73,424,44
75,RandBot,1313314803,1313314804,AdaptiveBot,3,81,427,44
76,RandBot,932708172,932708173,AdaptiveBot,2,69,433,44
77,RandBot,552101541,552101542,AdaptiveBot,1,75,439,45
78,RandBot,2219639671,2219639672,RandBot,1,70,447,45
79,RandBot,3986516688,3986516689,RandBot,1,94,454,45
80,RandBot,1359087522,1359087523,AdaptiveBot,3,76,458,45
81,RandBot,978480891,978480892,AdaptiveBot,2,68,463,45
82,RandBot,2646019021,2646019022,RandBot,2,77,470,45
83,RandBot,117928742,117928743,RandBot,1,76,472,54
84,RandBot,4032289407,4032289408,AdaptiveBot,1,70,482,54
85,RandBot,1404860241,1404860242,RandBot,2,69,489,54
86,RandBot,1024253610,1024253611,AdaptiveBot,2,77,494,54
87,RandBot,544308092,544308093,AdaptiveBot,2,93,499,54
88,RandBot,163701461,163701462,AdaptiveBot,3,76,505,54
89,RandBot,1831239591,1831239592,AdaptiveBot,3,67,508,54
90,RandBot,1450632960,1450632961,AdaptiveBot,3,81,512,54
91,RandBot,3217509977,3217509978,RandBot,3,74,518,54
92,RandBot,590080811,590080812,AdaptiveBot,2,68,524,54
93,RandBot,209474180,209474181,RandBot,1,75,532,54
94,RandBot,1877012310,1877012311,AdaptiveBot,3,77,536,54
95,RandBot,3643889327,3643889328,AdaptiveBot,2,75,541,54
96,RandBot,3263282696,3263282697,AdaptiveBot,2,67,545,54
97,RandBot,635853530,635853531,AdaptiveBot,3,81,548,54
98,RandBot,255246899,255246900,RandBot,1,66,558,54
99,RandBot,4070268677,4070268678,AdaptiveBot,2,69,566,54
100,RandBot,3689662046,3689662047,AdaptiveBot,3,73,568,54
101,RandBot,1062232880,1062232881,AdaptiveBot,2,68,574,54
102,RandBot,681626249,681626250,RandBot,1,67,585,54
103,RandBot,301019618,301019619,RandBot,3,73,592,54
